iter	Passed	Remaining
0	5	6558
1	10	6453
2	15	6345
3	21	6374
4	24	5759
5	28	5755
6	33	5764
7	39	5897
8	42	5571
9	46	5479
10	51	5531
11	56	5565
12	60	5548
13	65	5534
14	70	5558
15	74	5545
16	78	5451
17	82	5444
18	88	5470
19	92	5457
20	97	5477
21	103	5538
22	108	5555
23	113	5551
24	119	5617
25	125	5652
26	129	5631
27	133	5588
28	137	5570
29	142	5556
30	147	5548
31	150	5477
32	154	5467
33	159	5453
34	164	5461
35	168	5449
36	173	5442
37	177	5441
38	181	5404
39	184	5341
40	186	5282
41	192	5300
42	198	5329
43	202	5326
44	207	5317
45	212	5325
46	216	5322
47	221	5320
48	226	5319
49	231	5316
50	235	5310
51	240	5304
52	245	5310
53	249	5304
54	254	5296
55	259	5291
56	263	5287
57	266	5240
58	270	5235
59	275	5237
60	280	5244
61	285	5238
62	289	5231
63	292	5186
64	297	5192
65	302	5191
66	307	5195
67	312	5194
68	316	5189
69	321	5183
70	326	5191
71	330	5184
72	335	5177
73	340	5181
74	345	5177
75	349	5170
76	354	5166
77	358	5163
78	363	5157
79	367	5150
80	373	5156
81	377	5149
82	382	5142
83	386	5141
84	391	5135
85	396	5130
86	398	5103
87	404	5107
88	408	5102
89	413	5094
90	417	5090
91	422	5086
92	426	5081
93	431	5076
94	436	5078
95	441	5075
96	446	5075
97	451	5072
98	455	5066
99	460	5060
100	464	5053
101	469	5054
102	474	5052
103	478	5046
104	483	5041
105	488	5037
106	492	5032
107	499	5054
108	505	5057
109	510	5057
110	515	5056
111	520	5056
112	525	5053
113	531	5062
114	536	5062
115	541	5057
116	545	5053
117	550	5048
118	555	5042
119	559	5036
120	565	5041
121	569	5034
122	574	5027
123	578	5023
124	583	5017
125	587	5010
126	592	5004
127	597	5004
128	602	4998
129	606	4992
130	609	4970
131	614	4970
132	619	4969
133	624	4966
134	629	4967
135	634	4961
136	638	4955
137	643	4955
138	648	4952
139	653	4946
140	659	4950
141	661	4929
142	666	4924
143	668	4901
144	673	4902
145	678	4896
146	682	4891
147	687	4886
148	692	4883
149	696	4877
150	701	4871
151	706	4867
152	710	4862
153	715	4856
154	719	4853
155	724	4850
156	729	4844
157	734	4840
158	738	4836
159	743	4834
160	748	4830
161	753	4827
162	758	4823
163	762	4817
164	766	4810
165	770	4798
166	775	4795
167	779	4790
168	786	4796
169	791	4793
170	796	4792
171	801	4789
172	805	4784
173	810	4779
174	815	4775
175	820	4772
176	824	4767
177	829	4761
178	834	4759
179	838	4753
180	843	4748
181	848	4745
182	853	4743
183	858	4740
184	863	4735
185	868	4732
186	873	4730
187	877	4725
188	883	4725
189	887	4720
190	892	4717
191	897	4713
192	900	4696
193	904	4690
194	909	4684
195	914	4682
196	918	4677
197	923	4671
198	927	4665
199	932	4661
200	936	4655
201	941	4649
202	947	4651
203	952	4648
204	956	4644
205	961	4639
206	967	4639
207	971	4633
208	976	4630
209	981	4626
210	985	4621
211	990	4617
212	996	4615
213	1000	4609
214	1005	4604
215	1011	4606
216	1016	4602
217	1020	4597
218	1026	4596
219	1030	4588
220	1034	4584
221	1040	4583
222	1045	4578
223	1049	4572
224	1054	4570
225	1059	4566
226	1064	4560
227	1068	4555
228	1073	4552
229	1078	4547
230	1082	4542
231	1087	4538
232	1092	4534
233	1097	4529
234	1101	4523
235	1106	4521
236	1111	4516
237	1115	4510
238	1120	4506
239	1125	4500
240	1130	4496
241	1136	4497
242	1140	4492
243	1145	4487
244	1150	4485
245	1155	4481
246	1160	4475
247	1164	4470
248	1170	4470
249	1174	4464
250	1180	4461
251	1186	4462
252	1191	4458
253	1195	4454
254	1200	4450
255	1205	4446
256	1210	4441
257	1215	4436
258	1219	4431
259	1224	4426
260	1228	4420
261	1234	4419
262	1239	4414
263	1243	4409
264	1248	4405
265	1253	4399
266	1257	4394
267	1262	4389
268	1267	4386
269	1271	4380
270	1276	4374
271	1281	4371
272	1286	4367
273	1290	4362
274	1296	4359
275	1300	4354
276	1305	4348
277	1309	4343
278	1314	4339
279	1319	4334
280	1323	4328
281	1328	4326
282	1333	4320
283	1337	4315
284	1339	4302
285	1344	4297
286	1349	4292
287	1353	4287
288	1358	4283
289	1363	4278
290	1368	4273
291	1370	4260
292	1375	4256
293	1379	4251
294	1383	4245
295	1388	4240
296	1393	4237
297	1398	4232
298	1402	4226
299	1407	4222
300	1412	4217
301	1416	4213
302	1422	4210
303	1427	4205
304	1431	4201
305	1436	4195
306	1440	4191
307	1445	4186
308	1449	4180
309	1456	4181
310	1462	4179
311	1466	4174
312	1471	4170
313	1476	4165
314	1480	4160
315	1485	4155
316	1490	4150
317	1494	4145
318	1499	4140
319	1503	4135
320	1508	4130
321	1512	4125
322	1517	4121
323	1522	4116
324	1527	4111
325	1531	4107
326	1538	4106
327	1542	4101
328	1547	4096
329	1553	4094
330	1557	4089
331	1561	4083
332	1566	4079
333	1571	4074
334	1575	4069
335	1581	4065
336	1586	4062
337	1590	4056
338	1595	4051
339	1600	4047
340	1604	4042
341	1609	4037
342	1614	4032
343	1618	4027
344	1622	4022
345	1627	4017
346	1632	4012
347	1636	4007
348	1641	4002
349	1646	3998
350	1651	3994
351	1656	3990
352	1660	3985
353	1666	3981
354	1670	3976
355	1675	3971
356	1680	3969
357	1685	3963
358	1690	3959
359	1695	3955
360	1700	3951
361	1704	3946
362	1710	3943
363	1714	3938
364	1719	3933
365	1724	3928
366	1728	3923
367	1733	3918
368	1737	3913
369	1743	3911
370	1748	3906
371	1752	3900
372	1758	3899
373	1763	3895
374	1768	3890
375	1774	3887
376	1778	3882
377	1782	3877
378	1788	3873
379	1793	3869
380	1797	3864
381	1802	3859
382	1807	3855
383	1812	3850
384	1816	3845
385	1821	3841
386	1825	3835
387	1830	3830
388	1834	3825
389	1840	3821
390	1844	3816
391	1849	3811
392	1853	3806
393	1858	3801
394	1862	3796
395	1867	3791
396	1872	3787
397	1877	3782
398	1881	3777
399	1887	3774
400	1892	3771
401	1897	3766
402	1903	3763
403	1907	3758
404	1912	3753
405	1916	3748
406	1921	3743
407	1926	3738
408	1930	3733
409	1935	3729
410	1940	3725
411	1944	3719
412	1949	3714
413	1954	3709
414	1958	3704
415	1963	3700
416	1968	3696
417	1972	3691
418	1977	3685
419	1982	3681
420	1987	3677
421	1992	3672
422	1998	3670
423	2003	3665
424	2007	3661
425	2012	3657
426	2017	3652
427	2022	3647
428	2027	3643
429	2032	3639
430	2036	3633
431	2041	3628
432	2046	3624
433	2050	3619
434	2055	3614
435	2060	3609
436	2064	3604
437	2068	3599
438	2073	3594
439	2078	3589
440	2082	3584
441	2087	3579
442	2092	3576
443	2097	3571
444	2102	3567
445	2107	3562
446	2112	3558
447	2116	3553
448	2121	3548
449	2126	3544
450	2131	3539
451	2135	3534
452	2141	3531
453	2146	3526
454	2150	3521
455	2155	3517
456	2160	3513
457	2166	3509
458	2172	3506
459	2176	3501
460	2181	3496
461	2185	3491
462	2188	3483
463	2193	3478
464	2197	3473
465	2202	3469
466	2207	3464
467	2212	3460
468	2217	3455
469	2222	3451
470	2226	3446
471	2230	3441
472	2236	3436
473	2240	3431
474	2245	3426
475	2249	3422
476	2255	3418
477	2259	3413
478	2263	3407
479	2268	3403
480	2273	3398
481	2277	3393
482	2282	3388
483	2287	3383
484	2291	3378
485	2296	3373
486	2302	3370
487	2307	3366
488	2312	3361
489	2317	3357
490	2321	3352
491	2326	3347
492	2332	3345
493	2338	3342
494	2340	3333
495	2345	3329
496	2350	3324
497	2355	3319
498	2359	3314
499	2364	3310
500	2369	3305
501	2373	3300
502	2378	3296
503	2383	3291
504	2387	3286
505	2392	3281
506	2397	3276
507	2401	3271
508	2406	3266
509	2413	3264
510	2418	3260
511	2422	3255
512	2427	3251
513	2432	3246
514	2437	3242
515	2442	3237
516	2447	3232
517	2451	3227
518	2456	3222
519	2460	3218
520	2465	3213
521	2469	3207
522	2475	3203
523	2479	3198
524	2484	3193
525	2488	3188
526	2493	3184
527	2497	3179
528	2502	3173
529	2507	3170
530	2512	3165
531	2517	3160
532	2521	3155
533	2527	3152
534	2531	3147
535	2536	3142
536	2541	3138
537	2546	3133
538	2551	3129
539	2556	3124
540	2561	3119
541	2566	3115
542	2572	3112
543	2577	3107
544	2581	3102
545	2586	3098
546	2591	3093
547	2597	3089
548	2602	3085
549	2606	3080
550	2611	3075
551	2615	3070
552	2620	3066
553	2625	3061
554	2629	3056
555	2635	3052
556	2639	3047
557	2644	3042
558	2649	3037
559	2653	3032
560	2658	3028
561	2662	3023
562	2668	3019
563	2673	3014
564	2678	3010
565	2684	3006
566	2689	3002
567	2694	2997
568	2699	2993
569	2704	2989
570	2708	2984
571	2714	2980
572	2719	2975
573	2724	2971
574	2730	2968
575	2739	2967
576	2749	2968
577	2754	2964
578	2759	2960
579	2766	2956
580	2771	2952
581	2776	2948
582	2781	2943
583	2786	2939
584	2792	2935
585	2797	2931
586	2802	2926
587	2807	2921
588	2813	2918
589	2817	2913
590	2823	2909
591	2828	2905
592	2833	2900
593	2837	2895
594	2842	2890
595	2847	2885
596	2851	2880
597	2854	2873
598	2860	2869
599	2864	2864
600	2869	2859
601	2873	2854
602	2878	2849
